Date, Close/Last, Volume, Open, High, Low
08/31/2016, 1663, 30, 1663.25, 1667.25, 1663.25
08/30/2016, 1664.75, 10, 1681.25, 1681.25, 1673
08/29/2016, 1672.75, N/A, 1672.75, 1672.75, 1672.75
08/26/2016, 1687.75, 35, 1684.75, 1689, 1683.5
08/25/2016, 1687.25, 13, 1682.75, 1682.75, 1680.5
08/24/2016, 1687.75, N/A, 1687.75, 1687.75, 1687.75
08/23/2016, 1689, N/A, 1689, 1689, 1689
08/22/2016, 1710.25, N/A, 1710.25, 1710.25, 1710.25
08/19/2016, 1707.75, N/A, 1707.75, 1707.75, 1707.75
08/18/2016, 1707.75, 40, 1741.25, 1741.25, 1719
08/17/2016, 1717, 5, 1729.75, 1729.75, 1729.75
08/16/2016, 1722.75, N/A, 1722.75, 1722.75, 1722.75
08/15/2016, 1728.75, N/A, 1728.75, 1728.75, 1728.75
08/12/2016, 1715.25, N/A, 1715.25, 1715.25, 1715.25
08/11/2016, 1696.5, N/A, 1696.5, 1696.5, 1696.5
08/10/2016, 1696.75, N/A, 1696.75, 1696.75, 1696.75
08/09/2016, 1692, N/A, 1692, 1692, 1692
08/08/2016, 1686, 5, 1678, 1678, 1678
08/05/2016, 1678, N/A, 1678, 1678, 1678
08/04/2016, 1685.5, 12, 1668, 1668, 1667.5
08/03/2016, 1667.75, 17, 1680.75, 1680.75, 1680.75
08/02/2016, 1680.75, N/A, 1680.75, 1680.75, 1680.75
08/01/2016, 1668, 10, 1668, 1668, 1668
07/29/2016, 1668, N/A, 1668, 1668, 1668
07/28/2016, 1674.5, N/A, 1674.5, 1674.5, 1674.5
07/27/2016, 1643, 14, 1643, 1643, 1643
07/26/2016, 1632, 10, 1632, 1632, 1632
07/25/2016, 1627.5, 3, 1640.5, 1640.5, 1640.5
07/22/2016, 1642.75, 30, 1645.75, 1651.75, 1640.5
07/21/2016, 1642.25, 12, 1637, 1639.5, 1631.25
07/20/2016, 1632.75, 6, 1662.5, 1662.5, 1662.5
07/19/2016, 1648.75, 4, 1648.75, 1648.75, 1648.75
07/18/2016, 1679, 1, 1686.5, 1686.5, 1686.5
07/15/2016, 1686.5, 14, 1716.75, 1716.75, 1697
07/14/2016, 1708.25, 6, 1714.25, 1714.25, 1712
07/13/2016, 1719, 9, 1714.75, 1714.75, 1707
07/12/2016, 1714, 17, 1714, 1714, 1714
07/11/2016, 1689, 14, 1686, 1689.5, 1686
07/08/2016, 1699, 9, 1681.75, 1691, 1681.75
07/07/2016, 1679, N/A, 1679, 1679, 1679
07/06/2016, 1691.75, N/A, 1691.75, 1691.75, 1691.75
07/05/2016, 1685.75, 5, 1685.75, 1685.75, 1685.75
07/01/2016, 1704.75, 10, 1700.25, 1701.25, 1700.25
06/30/2016, 1688.75, 18, 1688.25, 1688.25, 1688.25
06/29/2016, 1678.75, N/A, 1678.75, 1678.75, 1678.75
06/28/2016, 1667.25, 35, 1660.25, 1670.5, 1660.25
06/27/2016, 1643.25, 42, 1656.75, 1657.25, 1639.5
06/24/2016, 1665.5, N/A, 1665.5, 1665.5, 1665.5
06/23/2016, 1690.25, 8, 1682.25, 1682.25, 1682.25
06/22/2016, 1680.75, 16, 1687.25, 1687.25, 1683.25
06/21/2016, 1686.5, 11, 1685.5, 1685.5, 1684
06/20/2016, 1683.25, 8, 1671.25, 1671.25, 1671.25
06/17/2016, 1666.25, 11, 1667.75, 1667.75, 1659.75
06/16/2016, 1652.75, 26, 1662.5, 1664.75, 1654.25
06/15/2016, 1683.25, 3, 1683, 1683, 1683
06/14/2016, 1665.75, 3, 1657.25, 1657.25, 1657.25
06/13/2016, 1656.25, 5, 1656.25, 1656.25, 1656.25
06/10/2016, 1629, 3, 1620, 1620, 1620
06/09/2016, 1631, N/A, 1631, 1631, 1631
06/08/2016, 1656.5, 19, 1646, 1651, 1646
06/07/2016, 1603.5, N/A, 1603.5, 1603.5, 1603.5
06/06/2016, 1600, N/A, 1600, 1600, 1600
06/03/2016, 1598.5, 10, 1598.5, 1598.5, 1598.5
06/02/2016, 1594.25, N/A, 1594.25, 1594.25, 1594.25
06/01/2016, 1618, 30, 1618, 1618, 1618
05/31/2016, 1609.75, N/A, 1609.75, 1609.75, 1609.75
05/27/2016, 1607.75, 5, 1613.25, 1613.25, 1613.25
05/26/2016, 1613.5, 31, 1611, 1611.75, 1605
05/25/2016, 1595.25, 8, 1595.75, 1595.75, 1595.75
05/24/2016, 1609.5, 12, 1601, 1612.75, 1601
05/23/2016, 1610.25, 11, 1598.25, 1603.25, 1598.25
