EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 5106,199632,E39 FORUS                               ,NO,+58:53:03,+005:43:06,  15,TG21,20131015,20201231,   22,Hans Olav Hygen                                   
 5110,134420,NEDRE VATS                              ,NO,+59:29:02,+005:45:03,  64,TG21,19690101,20120131,   22,Hans Olav Hygen                                   
 5110,200838,E134 VATS                               ,NO,+59:34:11,+005:42:09,  50,TG21,20131123,20201231,   22,Hans Olav Hygen                                   
 5110,901417,NEDRE VATS                              ,NO,+59:29:00,+005:45:00,  65, TG5,19820114,20200229,     ,                    
 5132,134684,BUHOLMRASA FYR                          ,NO,+64:24:05,+010:27:18,  18,TG21,19651101,20201231,   22,Hans Olav Hygen                                   
 5132,200642,KALVAERET                               ,NO,+64:20:05,+010:19:10,  12,TG21,19630701,19650921,   22,Hans Olav Hygen                                   
 5137,134744,SULA                                    ,NO,+63:50:48,+008:28:00,   5,TG21,19750101,20201231,   22,Hans Olav Hygen                                   
 5137,134756,SULA FYR                                ,NO,+63:51:00,+008:28:00,  28,TG21,19540101,19741231,   22,Hans Olav Hygen                                   
 5137,901228,SULA                                    ,NO,+63:51:00,+008:28:00,   6, TG5,19820113,20200229,     ,                    
 5138,134744,SULA                                    ,NO,+63:50:48,+008:28:00,   5,TG21,19750101,20201231,   22,Hans Olav Hygen                                   
 5138,134756,SULA FYR                                ,NO,+63:51:00,+008:28:00,  28,TG21,19540101,19741231,   22,Hans Olav Hygen                                   
 5138,901228,SULA                                    ,NO,+63:51:00,+008:28:00,   6, TG5,19820113,20200229,     ,                    
 5140,134780,NY-ALESUND                              ,NO,+78:55:23,+011:56:00,   8,TG21,19740801,20201231,   22,Hans Olav Hygen                                   
 5140,200822,NY-ALESUND TEST                         ,SJ,+78:55:23,+011:56:00,   8,TG21,19930701,19950905,   22,Hans Olav Hygen                                   
 5149,134888,HEKKINGEN FYR                           ,NO,+69:36:03,+017:50:15,  14,TG21,19791101,20201231,   22,Hans Olav Hygen                                   
 5149,200581,LEIRKJOSEN                              ,NO,+69:33:06,+017:54:46,   9,TG21,19671101,19790429,   22,Hans Olav Hygen                                   
 5149,200608,SOMMAROEY I SENJA                       ,NO,+69:38:00,+018:00:38,   2,TG21,19570101,19670629,   22,Hans Olav Hygen                                   
 5149,901015,HEKKINGEN LH                            ,NO,+69:35:59,+017:49:59,  14, TG5,19820113,20200229,     ,                    
 5150,134900,TROMSO - LANGNES                        ,NO,+69:40:36,+018:54:48,   8,TG21,19641001,20201231,   22,Hans Olav Hygen                                   
 5150,199703,TROMSO - HOLT                           ,NO,+69:39:14,+018:54:34,  20,TG21,19940120,20201231,   22,Hans Olav Hygen                                   
 5150,200836,SKATTOERA                               ,NO,+69:41:49,+019:01:15,  14,TG21,19570101,19640830,   22,Hans Olav Hygen                                   
 5152,134924,SORKJOSEN LUFTHAVN                      ,NO,+69:47:20,+020:57:19,   6,TG21,20050817,20201231,   22,Hans Olav Hygen                                   
 5152,200708,NORDREISA - OEYENG                      ,NO,+69:44:48,+021:01:36,   5,TG21,19920701,20060830,   22,Hans Olav Hygen                                   
 5152,200779,NORDREISA                               ,NO,+69:44:28,+021:01:25,   1,TG21,19581101,19920629,   22,Hans Olav Hygen                                   
 5152,901041,NORDREISA-OYENG                         ,NO,+69:44:00,+021:01:00,   5, TG5,19820114,20060830,     ,                    
 5153,134936,NORDSTRAUM I KVAENANGEN                 ,NO,+69:50:01,+021:53:03,   6,TG21,19650801,20201231,   22,Hans Olav Hygen                                   
 5153,901045,NORDSTRAUM I KVAENANGEN                 ,NO,+69:49:59,+021:53:00,   6, TG5,19820113,20200229,     ,                    
 5154,105484,OKSOEY FYR                              ,NO,+58:04:01,+008:03:03,   9,TG21,18760101,20201231,   22,Hans Olav Hygen                                   
 5154,110449,KJEVIK                                  ,NO,+58:12:01,+008:04:06,  12,TG21,19460101,20201231,   22,Hans Olav Hygen                                   
